Invoice_ID,Vendor_ID,Invoice_Date,Due_Date,Invoice_Amount,Tax_Amount,Total_Amount,Payment_Status,Payment_Date,Processing_Days,Approval_Level,Approved_By,Vendor_Reliability_Score,Transaction_Type,Invoice_Frequency,Avg_Invoice_Amount,Deviation_From_Avg,Fraud_Flag
INV_526070,V336,2023-01-19,2023-03-12,44064.0,5903.67,48777.66,Paid ,2023-04-10,28.0,1,,6.0,invoice,39,5995,9.7,Low
INV_807167,V235,2023-12-20,2023-03-20,15872.0,2041.66,17098.27,Rejected,2023-12-08,22.0,2,Tom Brown,8.0,,43,35079,-44.6,
INV_819162,V625,2023-10-27,2023-03-05,47550.0,2605.71,55276.48,Pending,2023-04-12,12.0,5,jane,4.0,,47,37385,90.06,High
INV_344451,V568,2023-09-07,2023-10-28,79623.0,10956.54,92393.71,Paid,2023-07-23,5.0,1,Tom Brown,1.0,Invoice,49,20977,-36.28,yes
INV_503583,V951,2023-04-19,2023-02-14,86827.0,12423.4,99994.15,N,2023-06-26,27.0,2,John Smith,3.0,Debit Note,35,43526,59.11,
INV_429602,V378,2023-07-06,2023-11-10,19194.0,3155.5,22207.41,Approved ,2023-02-20,9.0,1,john,10.0,Credit Note,9,35983,-31.81,0
INV_783517,V221,2023-12-04,2023-12-01,14860.0,1541.52,16262.43,Approved ,2023-03-05,18.0,1,Jane Doe,6.0,Debit Note,27,24920,48.93,High
INV_344283,V426,2023-11-20,2023-10-03,69840.0,5195.78,81563.88,Approved ,2023-09-02,22.0,3,,8.0,Credit Note,10,18141,-12.43,Yes
INV_913835,V336,2023-09-03,2023-06-17,36542.0,5437.18,41231.2,Approved,2023-10-05,15.0,5,Jane ,10.0,Credit Note,11,48868,57.82,1
INV_300552,V319,2023-10-05,2023-10-11,22039.0,3788.86,25801.47,1,2023-07-26,28.0,1,,2.0,Credit,36,4390,0.75,No
INV_143006,V646,2023-08-02,2023-01-04,32038.0,1627.6,34263.25,Rejected,2023-03-24,25.0,4,Jane Doe,3.0,Credit,26,36774,74.31,TRUE
INV_402531,V974,2023-04-24,2023-03-28,80592.0,8667.8,87137.78,0,2023-04-08,,5,jane,2.0,,7,42920,61.02,Yes
INV_842419,V817,2023-04-17,2023-12-01,40238.0,4610.05,47368.84,pending,2023-06-09,24.0,1,John Smith,6.0,,41,49783,92.83,
INV_265873,V138,2023-08-17,2023-03-18,46759.0,2475.63,54904.51,Approved,2023-06-27,21.0,2,Tom Brown,9.0,Credit Note,32,4935,63.97,
INV_539157,V581,2023-01-03,2023-01-17,51465.0,3911.68,54729.49,Approved,2023-06-25,6.0,5,Mike Johnson,8.0,invoice,2,3068,70.98,No
INV_262480,V648,2023-07-04,2023-07-13,792.0,43.47,854.27,0,2023-08-22,29.0,1,John Smith,6.0,Credit,34,32927,11.3,
INV_604385,V377,2023-03-04,2023-12-10,74542.0,,82386.08,N,2023-05-19,10.0,1,Sarah Williams,7.0,Credit,39,37141,34.6,1
INV_948952,V145,2023-06-07,2023-10-22,20235.0,1905.2,23795.3,Rejected ,2023-12-07,4.0,3,John Smith,10.0,Debit Note,50,46791,-6.64,No
INV_117612,V505,2023-08-12,2023-07-13,75889.0,10521.41,82981.09,pending,2023-07-03,13.0,4,John Smith,3.0,Invoice,21,36255,69.44,1
INV_327369,V623,2023-11-12,2023-06-14,96331.0,13384.91,111301.38,,2023-10-26,17.0,3,jane,5.0,Adjustment,46,47994,1.34,TRUE
INV_253171,V456,2023-11-10,2023-01-18,43198.0,5815.85,49232.85,Approved ,2023-09-01,27.0,5,john,2.0,Debit Note,1,29920,-11.25,TRUE
INV_826030,V538,2023-03-04,2023-01-19,47539.0,5510.3,53780.54,,2023-11-27,3.0,5,jane,4.0,Adjustment,30,34663,90.18,High
INV_388385,V103,2023-11-07,2023-11-28,82523.0,9081.75,96289.06,Approved,2023-01-07,24.0,4,,7.0,Credit Note,44,7453,23.04,Yes
INV_370356,V314,2023-09-22,2023-04-09,5681.0,814.94,6018.43,Paid,2023-05-20,19.0,3,Mike Johnson,10.0,,49,28257,-23.65,yes
INV_464000,V284,2023-04-17,2023-10-16,69394.0,8445.16,77163.46,,2023-07-04,,5,jane,10.0,Adjustment,48,4916,58.04,FALSE
INV_446325,V792,2023-06-07,2023-02-16,5607.0,646.46,6560.11,0,2023-02-16,-5.0,3,Tom Brown,6.0,,22,15912,-26.43,
INV_496323,V684,2023-02-17,2023-04-05,69716.0,4475.58,81893.81,pending,2023-05-05,10.0,5,Tom Brown,3.0,Debit Note,41,4540,-34.47,TRUE
INV_328802,V567,2023-06-08,2023-03-25,7113.0,412.91,7977.69,Y,2023-09-24,7.0,1,Jane Doe,4.0,,42,30383,35.48,0
INV_765694,V100,2023-02-02,2023-08-16,94370.0,4821.06,104947.07,Paid,2023-02-17,7.0,4,Jane Doe,3.0,Credit Note,18,45052,-4.77,yes
INV_925020,V761,2023-11-06,2023-04-12,99587.0,16281.53,109197.92,pending,2023-12-21,7.0,3,Jane Doe,4.0,invoice,30,9306,88.47,yes
INV_329565,V326,2023-05-14,2023-08-11,63140.0,5187.68,69784.38,Rejected,2023-08-11,9.0,1,Jane Doe,6.0,Credit,26,46291,-30.79,no
INV_693037,V988,2023-03-10,2023-01-22,51308.0,,57223.09,paid,2023-10-05,7.0,5,John Smith,4.0,Invoice,31,41628,1.75,1
INV_880413,V345,2023-03-02,2023-04-13,80299.0,4243.6,88440.91,Approved,2023-04-16,3.0,1,Tom Brown,,Adjustment,5,11149,10.29,0
INV_606462,V521,2023-01-06,2023-12-15,12276.0,1299.63,14183.38,Y,2023-04-25,12.0,1,John Smith,10.0,,4,7396,64.39,High
INV_289096,V779,2023-02-14,2023-12-04,4306.0,732.55,4546.63,Approved,2023-06-26,15.0,1,Mike Johnson,4.0,,8,40134,16.67,TRUE
INV_198157,V370,2023-08-04,2023-04-16,51070.0,5770.83,57477.93,N,2023-08-08,26.0,5,John Smith,10.0,Credit,41,22045,91.01,Low
INV_939419,V838,2023-05-02,2023-04-08,86376.0,8644.85,95490.13,N,2023-02-05,13.0,1,Sarah Williams,6.0,Credit,29,37674,-34.21,0
INV_255332,V140,2023-11-25,2023-07-11,88094.0,13719.87,94767.96,Paid,2023-08-16,2.0,5,John Smith,5.0,Adjustment,8,8232,17.92,TRUE
INV_790407,V658,2023-08-22,2023-11-15,50672.0,4755.14,59093.13,Approved,2023-09-13,24.0,5,Sarah Williams,8.0,Adjustment,14,26518,59.68,0
INV_636581,V724,2023-01-18,2023-11-16,46971.0,3753.2,51683.3,Rejected,2023-11-14,8.0,3,Jane Doe,3.0,Credit,26,12743,36.19,1
INV_714847,V510,2023-04-07,2023-11-17,3634.0,543.45,3958.02,,2023-04-11,12.0,3,,-1.0,Credit,46,13491,1.9,No 
INV_131167,V907,2023-12-02,2023-02-16,65278.0,9018.41,76791.04,Rejected ,2023-10-22,7.0,2,john,3.0,Debit Note,40,40944,-35.55,1
INV_235044,V324,2023-05-02,2023-10-05,23917.0,2671.83,28066.21,Rejected,2023-09-22,8.0,5,,8.0,Adjustment,14,38881,55.49,No
INV_904625,V,2023-08-26,2023-07-26,31341.0,4629.29,35929.4,,2023-11-20,14.0,5,,7.0,invoice,8,48828,51.41,yes
INV_823578,V199,2023-10-14,2023-03-26,710.0,63.2,829.6,N,2023-08-08,1.0,1,jane,5.0,invoice,32,43862,56.76,1
INV_128206,V277,2023-07-04,2023-07-12,48126.0,8612.29,53109.49,Paid,2023-11-08,11.0,5,Sarah Williams,4.0,Credit,20,38932,-37.26,Low
INV_741653,V601,2023-07-10,2023-04-27,11182.0,1180.05,12889.29,Approved ,2023-08-24,3.0,5,Tom Brown,5.0,,30,43341,99.48,Yes
INV_531303,V918,2023-06-15,2023-11-04,80684.0,11332.67,88710.74,pending,2023-05-01,28.0,4,Mike Johnson,4.0,Invoice,13,49957,59.81,0
INV_849401,V867,2023-03-10,2023-08-26,90267.0,15950.3,98824.9,Rejected,2023-07-12,21.0,5,Tom Brown,2.0,Adjustment,48,43774,98.32,TRUE
INV_942351,V902,2023-01-09,2023-08-20,50065.0,2816.69,55381.26,paid,2023-05-20,25.0,5,Tom Brown,1.0,,23,44818,70.81,1
INV_979563,V144,2023-02-28,2023-06-13,95775.0,9248.16,103281.07,Approved ,2023-02-11,9.0,3,John Smith,1.0,Adjustment,17,36455,27.24,
INV_566510,V770,2023-06-27,2023-04-18,78372.0,,87381.84,Y,2023-09-25,1.0,2,Mike Johnson,3.0,Credit,38,7995,63.41,FALSE
INV_657049,V249,2023-09-02,2023-08-15,99455.0,9980.46,110122.11,pending,2023-09-08,15.0,3,Jane Doe,4.0,Credit,44,41760,-36.14,TRUE
INV_812708,V416,2023-04-07,2023-08-10,13120.0,1496.98,14066.87,Approved ,2023-11-24,28.0,4,jane,3.0,invoice,24,37453,49.76,1
INV_698464,V325,2023-11-09,2023-04-12,28421.0,4136.2,30122.47,1,2023-05-02,11.0,1,jane,4.0,invoice,10,39490,56.67,High
INV_447445,V703,2023-12-13,2023-02-28,33289.0,5918.41,35564.26,pending,2023-12-26,5.0,4,,10.0,Credit,49,23183,62.28,Low
INV_366008,V480,2023-05-26,2023-08-22,90809.0,10400.87,104274.67,Rejected ,2023-09-06,0.0,5,Mike Johnson,2.0,invoice,42,8526,-6.47,yes
INV_581024,V132,2023-03-18,2023-03-27,38809.0,4861.27,42878.39,0,2023-09-17,0.0,4,john,3.0,invoice,44,4987,-48.93,Yes
INV_732134,V696,2023-08-13,2023-04-04,29292.0,3477.59,31586.04,paid,2023-03-23,24.0,4,John Smith,1.0,Credit Note,19,39004,-25.11,no
INV_639707,V539,2023-05-24,2023-11-04,408.0,58.79,469.29,N,2023-03-22,1.0,3,Sarah Williams,5.0,invoice,7,650,81.2,TRUE
INV_907889,V412,2023-03-10,2023-03-13,75925.0,7746.12,81123.08,Approved ,2023-12-16,,5,john,9.0,Invoice,5,44750,-0.46,Yes
INV_221500,V533,2023-04-23,2023-08-21,82061.0,,94921.38,Approved,2023-12-27,2.0,3,Tom Brown,10.0,,9,8253,-20.01,1
INV_905277,V773,2023-01-03,2023-05-20,90651.0,10940.8,104113.51,Paid,2023-03-06,27.0,5,john,1.0,Adjustment,34,45265,81.83,TRUE
INV_278758,V147,2023-04-22,2023-12-19,74693.0,10261.54,84282.57,Rejected,2023-02-19,16.0,4,Mike Johnson,2.0,Credit Note,17,37449,78.32,FALSE
INV_447270,V497,2023-11-01,2023-12-05,24514.0,4136.95,28759.93,Rejected ,2023-01-26,365.0,1,jane,1.0,Debit Note,36,1979,-23.97,0
INV_564212,V285,2023-09-19,2023-02-13,50564.0,6572.72,53181.19,Paid,2023-04-21,14.0,2,Sarah Williams,1.0,Credit,14,10285,-14.17,0
INV_718737,V576,2023-09-21,2023-07-04,50056.0,5318.09,53507.91,Pending,2023-08-01,8.0,2,Mike Johnson,6.0,Debit Note,20,39098,8.57,No
INV_683278,V812,2023-07-12,2023-10-13,76030.0,11412.43,87871.17,Pending,2023-07-12,29.0,5,John Smith,2.0,Debit Note,22,408,-32.45,TRUE
INV_318378,V104,2023-02-21,2023-07-04,606.0,69.31,696.95,Rejected ,2023-02-02,0.0,5,jane,5.0,invoice,23,20022,-9.37,yes
INV_485023,V263,2023-05-23,2023-01-21,92008.0,16298.74,98478.99,pending,2023-05-27,6.0,4,Mike Johnson,7.0,Invoice,3,27149,-30.93,
