Invoice_ID,Vendor_ID,Invoice_Date,Due_Date,Invoice_Amount,Tax_Amount,Total_Amount,Payment_Status,Payment_Date,Processing_Days,Approval_Level,Approved_By,Vendor_Reliability_Score,Transaction_Type,Invoice_Frequency,Avg_Invoice_Amount,Deviation_From_Avg,Fraud_Flag,Fraud_Real,Amount_ZScore,Deviation_Abs,Processing_ZScore,Tax_Ratio,risk_composite,Anomaly_Label,Anomaly_Score,Combined_Anomaly
INV_526070,V336,2023-01-19,2023-03-12,44064.0,5903.67,48777.66,Paid,2023-04-10,28.0,1,,6.0,invoice,39,5995,9.7,Low,0.0,-0.06830543157981345,9.7,0.21892940824075038,0.12103225123960436,0.2356004975520753,0,0.02233867579696952,0
INV_819162,V625,2023-10-27,2023-03-05,47550.0,2605.71,55276.48,Pending,2023-04-12,12.0,5,jane,4.0,,47,37385,90.06,High,1.0,-0.067743584613287,90.06,-0.11895455804981352,0.047139579075946944,0.6115719006301295,0,0.02580816860644375,1
INV_344451,V568,2023-09-07,2023-10-28,79623.0,10956.54,92393.71,Paid,2023-07-23,5.0,1,Tom Brown,1.0,Invoice,49,20977,-36.28,yes,1.0,-0.0625743024109339,36.28,-0.2667787933019352,0.1185853452578103,0.4963716794774771,0,0.009566091012705003,0
INV_429602,V378,2023-07-06,2023-11-10,19194.0,3155.5,22207.41,Approved,2023-02-20,9.0,1,john,10.0,Credit Note,9,35983,-31.81,0,0.0,-0.07231378902603057,31.81,-0.18230780172929426,0.14209221156361773,0.15723892806460027,0,0.025516210132911776,0
INV_783517,V221,2023-12-04,2023-12-01,14860.0,1541.52,16262.43,Approved,2023-03-05,18.0,1,Jane Doe,6.0,Debit Note,27,24920,48.93,High,1.0,-0.0730123101829226,48.93,0.007751929309147943,0.09479026197191932,0.3225552514329567,0,0.055951728794073397,0
INV_344283,V426,2023-11-20,2023-10-03,69840.0,5195.78,81563.88,Approved,2023-09-02,22.0,3,,8.0,Credit Note,10,18141,-12.43,Yes,1.0,-0.0641510519443614,12.43,0.09222292088178892,0.06370197200035113,0.19395364852114064,0,0.05796871660598868,0
INV_913835,V336,2023-09-03,2023-06-17,36542.0,5437.18,41231.2,Approved,2023-10-05,15.0,5,Jane ,10.0,Credit Note,11,48868,57.82,1,1.0,-0.06951777032973082,57.82,-0.05560131437033279,0.13187052523331846,0.2957037512214961,0,0.029172352723723205,1
INV_300552,V319,2023-10-05,2023-10-11,22039.0,3788.86,25801.47,1,2023-07-26,28.0,1,,2.0,Credit,36,4390,0.75,No,0.0,-0.0718552535642498,0.75,0.21892940824075038,0.14684667191442968,0.3494604619489626,0,0.0035629300393374974,0
INV_143006,V646,2023-08-02,2023-01-04,32038.0,1627.6,34263.25,Rejected,2023-03-24,25.0,4,Jane Doe,3.0,Credit,26,36774,74.31,TRUE,1.0,-0.0702436907936537,74.31,0.15557616456126966,0.047502790891115115,0.5853151628429212,0,0.050155529836185875,1
INV_402531,V974,2023-04-24,2023-03-28,80592.0,8667.8,87137.78,0,2023-04-08,15.0,5,jane,2.0,,7,42920,61.02,Yes,1.0,-0.06241812636085812,61.02,-0.05560131437033279,0.09947235286462427,0.5838838224277215,0,0.024656058211440735,1
INV_539157,V581,2023-01-03,2023-01-17,51465.0,3911.68,54729.49,Approved,2023-06-25,6.0,5,Mike Johnson,8.0,invoice,2,3068,70.98,No,0.0,-0.06711259468960626,70.98,-0.24566104540877498,0.07147298467425879,0.4332116757492375,0,0.020035536744902105,1
INV_604385,V377,2023-03-04,2023-12-10,74542.0,5107.32,82386.08,N,2023-05-19,10.0,1,Sarah Williams,7.0,Credit,39,37141,34.6,1,1.0,-0.06339321934636731,34.6,-0.16119005383613402,0.06199251135628737,0.2656571519446936,0,0.0632737661097249,0
INV_948952,V145,2023-06-07,2023-10-22,20235.0,1905.2,23795.3,Rejected,2023-12-07,4.0,3,John Smith,10.0,Debit Note,50,46791,-6.64,No,0.0,-0.07214600856356526,6.64,-0.2878965411950955,0.08006623156673798,0.13753368289197737,0,0.0016854241184862673,0
INV_117612,V505,2023-08-12,2023-07-13,75889.0,10521.41,82981.09,Pending,2023-07-03,13.0,4,John Smith,3.0,Invoice,21,36255,69.44,1,1.0,-0.0631761201312465,69.44,-0.09783681015665328,0.1267928632896965,0.5606307455497472,0,0.048205591604965126,1
INV_327369,V623,2023-11-12,2023-06-14,96331.0,13384.91,111301.38,Nan,2023-10-26,17.0,3,jane,5.0,Adjustment,46,47994,1.34,TRUE,1.0,-0.05988143404698554,1.34,-0.013365818584012302,0.12025825735494025,0.253001159596999,1,-0.01369833841529855,1
INV_253171,V456,2023-11-10,2023-01-18,43198.0,5815.85,49232.85,Approved,2023-09-01,27.0,5,john,2.0,Debit Note,1,29920,-11.25,TRUE,1.0,-0.06844500687327641,11.25,0.19781166034759015,0.11812946030952912,0.45711075042679383,0,0.026346790154059718,0
INV_826030,V538,2023-03-04,2023-01-19,47539.0,5510.3,53780.54,Nan,2023-11-27,3.0,5,jane,4.0,Adjustment,30,34663,90.18,High,1.0,-0.06774535750962428,90.18,-0.30901428908825573,0.10245899353186115,0.6404412148651631,0,0.023047705059570434,1
INV_388385,V103,2023-11-07,2023-11-28,82523.0,9081.75,96289.06,Approved,2023-01-07,24.0,4,,7.0,Credit Note,44,7453,23.04,Yes,1.0,-0.062106902467466675,23.04,0.1344584166681094,0.09431756837173402,0.2867101429937098,0,0.03628076677763009,0
INV_370356,V314,2023-09-22,2023-04-09,5681.0,814.94,6018.43,Paid,2023-05-20,19.0,3,Mike Johnson,10.0,,49,28257,-23.65,yes,1.0,-0.0744917115901935,23.65,0.028869677202308187,0.13540740691509248,0.15017879389838493,0,0.017021213815307745,0
INV_464000,V284,2023-04-17,2023-10-16,69394.0,8445.16,77163.46,Nan,2023-07-04,15.0,5,jane,10.0,Adjustment,48,4916,58.04,FALSE,0.0,-0.06422293483221878,58.04,-0.05560131437033279,0.10944506635653714,0.2953047841219937,0,0.0269045804347679,1
INV_496323,V684,2023-02-17,2023-04-05,69716.0,4475.58,81893.81,Pending,2023-05-05,10.0,5,Tom Brown,3.0,Debit Note,41,4540,-34.47,TRUE,1.0,-0.06417103732125448,34.47,-0.16119005383613402,0.054651016969414414,0.485422715539671,0,0.02897292723887246,0
INV_328802,V567,2023-06-08,2023-03-25,7113.0,412.91,7977.69,Y,2023-09-24,7.0,1,Jane Doe,4.0,,42,30383,35.48,0,0.0,-0.07426091272155727,35.48,-0.22454329751561475,0.05175809037453198,0.38497367717165365,0,0.04457796415175974,0
INV_765694,V100,2023-02-02,2023-08-16,94370.0,4821.06,104947.07,Paid,2023-02-17,7.0,4,Jane Doe,3.0,Credit Note,18,45052,-4.77,yes,1.0,-0.06019749311220595,4.77,-0.22454329751561475,0.04593801427710178,0.3850309932497834,0,0.025072100083875448,0
INV_925020,V761,2023-11-06,2023-04-12,99587.0,16281.53,109197.92,Pending,2023-12-21,7.0,3,Jane Doe,4.0,invoice,30,9306,88.47,yes,1.0,-0.059356656731147865,88.47,-0.22454329751561475,0.14910110009421426,0.5809628259735717,1,-0.035632780386286256,1
INV_329565,V326,2023-05-14,2023-08-11,63140.0,5187.68,69784.38,Rejected,2023-08-11,9.0,1,Jane Doe,6.0,Credit,26,46291,-30.79,no,0.0,-0.06523090698616496,30.79,-0.18230780172929426,0.07433869871739206,0.2927623516566272,0,0.05559657249443706,0
INV_693037,V988,2023-03-10,2023-01-22,51308.0,5107.32,57223.09,Paid,2023-10-05,7.0,5,John Smith,4.0,Invoice,31,41628,1.75,1,1.0,-0.0671378987555112,1.75,-0.22454329751561475,0.08925278239955235,0.3623590743784444,0,0.045133159203528506,0
INV_880413,V345,2023-03-02,2023-04-13,80299.0,4243.6,88440.91,Approved,2023-04-16,3.0,1,Tom Brown,6.0,Adjustment,5,11149,10.29,0,0.0,-0.06246534987238774,10.29,-0.30901428908825573,0.047982319494451156,0.2497152133377159,0,0.023703675627161913,0
INV_606462,V521,2023-01-06,2023-12-15,12276.0,1299.63,14183.38,Y,2023-04-25,12.0,1,John Smith,10.0,,4,7396,64.39,High,1.0,-0.07342877964979132,64.39,-0.11895455804981352,0.09163048582213831,0.24569893963743034,1,-0.002756025144618812,1
INV_289096,V779,2023-02-14,2023-12-04,4306.0,732.55,4546.63,Approved,2023-06-26,15.0,1,Mike Johnson,4.0,,8,40134,16.67,TRUE,1.0,-0.07471332363235467,16.67,-0.05560131437033279,0.16111933454008792,0.30329286188202087,0,0.022372211106108153,0
INV_198157,V370,2023-08-04,2023-04-16,51070.0,5770.83,57477.93,N,2023-08-08,26.0,5,John Smith,10.0,Credit,41,22045,91.01,Low,0.0,-0.06717625778535437,91.01,0.1766939124544299,0.10040079731472584,0.4129693384252354,0,0.013615017035734311,1
INV_939419,V838,2023-05-02,2023-04-08,86376.0,8644.85,95490.13,N,2023-02-05,13.0,1,Sarah Williams,6.0,Credit,29,37674,-34.21,0,0.0,-0.06148590523223248,34.21,-0.09783681015665328,0.09053134601450433,0.2896027025699445,0,0.05235648164179363,0
INV_255332,V140,2023-11-25,2023-07-11,88094.0,13719.87,94767.96,Paid,2023-08-16,2.0,5,John Smith,5.0,Adjustment,8,8232,17.92,TRUE,1.0,-0.06120901105882673,17.92,-0.33013203698141597,0.14477329679777848,0.39052160775897776,0,0.0007017369035206,0
INV_790407,V658,2023-08-22,2023-11-15,50672.0,4755.14,59093.13,Approved,2023-09-13,24.0,5,Sarah Williams,8.0,Adjustment,14,26518,59.68,0,0.0,-0.0672404043982854,59.68,0.1344584166681094,0.0804685756195348,0.38265684337987343,0,0.06083858205074533,1
