Invoice_ID,Vendor_ID,Invoice_Date,Invoice_Amount,Payment_Status,Vendor_Reliability_Score,Risk_Score,Findings,Anomaly_Detected
INV_517705,V479,2023-10-08,96902.0,N,2.0,71,3,1
INV_742666,V498,2023-02-19,99301.0,Nan,7.0,67,3,0
INV_426825,V224,2023-07-02,96693.0,Rejected,8.0,65,3,0
INV_154636,V944,2023-11-09,939.0,Rejected,1.0,65,3,1
INV_119009,V664,2023-07-20,76250.0,Paid,6.0,65,3,0
INV_233849,V731,2023-07-11,97259.0,Approved,1.0,65,3,1
INV_765724,V428,2023-06-21,8150.0,Rejected,6.0,64,3,1
INV_975408,V182,2023-11-10,97388.0,Y,9.0,64,3,0
INV_733311,V852,2023-12-10,63903.0,Paid,2.0,64,3,1
INV_892258,V950,2023-04-12,9999999.0,Paid,4.0,63,3,1
INV_507477,V915,2023-06-25,98229.0,Pending,1.0,63,3,1
INV_882061,V452,2023-05-14,4194.0,Y,10.0,62,3,1
INV_177312,V513,2023-01-18,981.0,0,4.0,62,3,0
INV_609374,V395,2023-12-27,50063.0,1,8.0,62,3,0
INV_393296,V796,2023-01-10,90341.0,Paid,3.0,62,3,0
INV_652891,V649,2023-02-10,93637.0,Paid,4.0,62,3,0
INV_294589,V170,2023-12-03,97888.0,Paid,6.0,61,3,1
INV_786140,V533,2023-12-12,1200.0,Y,8.0,61,3,1
INV_204270,V506,2023-11-25,51695.0,1,4.0,61,3,1
INV_356358,V116,2023-11-06,97800.0,Nan,5.0,61,3,0
INV_119131,V229,2023-09-24,45435.0,N,3.0,61,3,0
INV_145853,V548,2023-12-13,96218.0,Pending,4.0,61,3,1
INV_419539,V482,2023-12-13,78216.0,Paid,8.0,61,3,0
INV_389347,V533,2023-08-16,5920.0,Rejected,1.0,60,3,0
INV_131053,V697,2023-11-02,87834.0,Paid,2.0,60,3,1
INV_947940,V296,2023-08-19,98608.0,0,5.0,60,3,0
INV_558246,V827,2023-06-18,7430.0,Approved,1.0,60,3,1
INV_516903,V349,2023-10-09,8337.0,Y,6.0,60,3,0
INV_246980,V935,2023-06-06,80512.0,Nan,1.0,60,3,1
INV_695067,V298,2023-03-26,96722.0,1,4.0,60,3,1
INV_292102,V633,2023-05-10,19127.0,Rejected,-1.0,60,3,1
INV_381003,UNKNOWN,2023-10-09,19761.0,0,4.0,60,3,0
INV_280897,V448,2023-13-45,27980.0,0,1.0,60,3,0
INV_253171,V456,2023-11-10,43198.0,Approved,2.0,60,3,0
INV_261943,V396,2023-03-20,93564.0,1,3.0,60,3,0
INV_974051,V146,2023-03-07,50063.0,Approved,2.0,60,3,1
INV_590180,V730,2023-11-04,30113.0,Nan,6.0,60,3,1
INV_155431,V523,2023-02-15,14626.0,Rejected,3.0,60,3,1
INV_774086,V170,2023-09-13,93782.0,Paid,6.0,60,3,0
INV_316635,V834,2023-05-28,91188.0,N,5.0,60,3,0
INV_674016,V991,2023-05-15,16861.0,Nan,2.0,60,3,0
INV_251377,V174,2023-02-11,55688.0,Paid,2.0,60,3,1
INV_618019,V560,2023-10-20,1114.0,Nan,1.0,60,3,0
INV_284056,V369,2023-10-27,1234.0,Nan,1.0,59,2,1
INV_890275,V489,2023-11-20,19374.0,Approved,9.0,59,2,1
INV_741090,V901,2023-04-21,17017.0,Approved,3.0,59,2,1
INV_575581,V817,2023-01-11,85767.0,Approved,4.0,59,2,0
INV_171902,V222,2023-12-27,93478.0,Nan,1.0,59,2,0
INV_198009,V428,2023-05-26,1675.0,Paid,10.0,59,2,1
INV_539034,V882,2023-06-25,57096.0,1,10.0,59,2,0
